natural_language,sql,mongodb,operation
Delete all employees,DELETE FROM employees;,db.employees.deleteMany({}),DELETE
Delete products with product_id less than 28453,DELETE FROM products WHERE product_id < 28453;,db.products.deleteMany({product_id: {$lt: 28453}}),DELETE
"Insert a new product with product_id as 8253, product_name as Brian Smith, category as Electronics","INSERT INTO products (product_id, product_name, category, price, stock_quantity, supplier) VALUES (8253, 'Brian Smith', 'Electronics', 73005.3, 907, 'Archer Inc');","db.products.insertOne({
  ""product_id"": 8253,
  ""product_name"": ""Brian Smith"",
  ""category"": ""Electronics"",
  ""price"": 73005.3,
  ""stock_quantity"": 907,
  ""supplier"": ""Archer Inc""
})",CREATE
Change product_name to Jason Vasquez for all products,UPDATE products SET product_name = 'Jason Vasquez';,"db.products.updateMany({}, {$set: {product_name: 'Jason Vasquez'}})",UPDATE
Increase budget by 408 in departments where location equals Townsendton,UPDATE departments SET budget = budget + 408 WHERE location = 'Townsendton';,"db.departments.updateMany({location: 'Townsendton'}, {$inc: {budget: 408}})",UPDATE
Increase price by 3414 in products where product_id equals 8830,UPDATE products SET price = price + 3414 WHERE product_id = '8830';,"db.products.updateMany({product_id: '8830'}, {$inc: {price: 3414}})",UPDATE
"Update products set category to Electronics where supplier is Love, Campbell and Dodson","UPDATE products SET category = 'Electronics' WHERE supplier = 'Love, Campbell and Dodson';","db.products.updateMany({supplier: 'Love, Campbell and Dodson'}, {$set: {category: 'Electronics'}})",UPDATE
Delete departments with manager_id less than 45547,DELETE FROM departments WHERE manager_id < 45547;,db.departments.deleteMany({manager_id: {$lt: 45547}}),DELETE
Delete projects with project_id less than 23130,DELETE FROM projects WHERE project_id < 23130;,db.projects.deleteMany({project_id: {$lt: 23130}}),DELETE
Show average stock_quantity from products,SELECT AVG(stock_quantity) FROM products;,"db.products.aggregate([{$group: {_id: null, avg: {$avg: '$stock_quantity'}}}])",READ
